#time meanCourantNo maxCourantNo Ndt
2600 0.160571 0.229791 0.0873518
2608 0.160578 0.229811 0.0873491
2616 0.160584 0.22983 0.0873463
2624 0.16059 0.229849 0.0873435
2632 0.160596 0.229867 0.0873406
2640 0.160601 0.229884 0.0873377
2648 0.160605 0.229901 0.0873347
2656 0.160609 0.229918 0.0873316
2664 0.160613 0.229935 0.0873285
2672 0.160615 0.229951 0.0873254
2680 0.160617 0.229968 0.0873222
2688 0.160618 0.229984 0.087319
2696 0.160618 0.23 0.0873158
2704 0.160618 0.230016 0.0873126
2712 0.160618 0.230032 0.0873093
2720 0.160617 0.230048 0.0873061
2728 0.160615 0.230064 0.0873029
2736 0.160614 0.230079 0.0872997
2744 0.160613 0.230094 0.0872965
2752 0.160612 0.230109 0.0872934
2760 0.160611 0.230123 0.0872903
2768 0.16061 0.230137 0.0872873
2776 0.160609 0.230151 0.0872843
2784 0.160608 0.230165 0.0872814
2792 0.160608 0.230178 0.0872785
2800 0.160607 0.230191 0.0872757
2808 0.160606 0.230204 0.087273
2816 0.160605 0.230217 0.0872703
2824 0.160605 0.23023 0.0872677
2832 0.160604 0.230244 0.0872651
2840 0.160604 0.230257 0.0872626
2848 0.160603 0.230271 0.0872601
2856 0.160602 0.230286 0.0872577
2864 0.160601 0.230301 0.0872553
2872 0.1606 0.230317 0.087253
2880 0.160599 0.230333 0.0872507
2888 0.160598 0.230351 0.0872484
2896 0.160597 0.23037 0.0872462
2904 0.160596 0.23039 0.087244
2912 0.160595 0.230411 0.0872418
2920 0.160594 0.230434 0.0872396
2928 0.160594 0.230459 0.0872375
2936 0.160594 0.230485 0.0872354
2944 0.160595 0.230514 0.0872333
2952 0.160596 0.230543 0.0872313
2960 0.160597 0.230575 0.0872293
2968 0.160599 0.230608 0.0872273
2976 0.1606 0.230643 0.0872253
2984 0.160602 0.230679 0.0872233
2992 0.160604 0.230716 0.0872214
3000 0.160605 0.230754 0.0872195
3008 0.160607 0.230793 0.0872176
3016 0.160608 0.230831 0.0872158
3024 0.160609 0.230868 0.087214
3032 0.16061 0.230905 0.0872122
3040 0.160611 0.23094 0.0872104
3048 0.160612 0.230973 0.0872087
3056 0.160612 0.231002 0.087207
3064 0.160612 0.231029 0.0872053
3072 0.160613 0.231051 0.0872036
3080 0.160613 0.231069 0.087202
3088 0.160613 0.231083 0.0872003
3096 0.160612 0.231091 0.0871988
3104 0.160612 0.231094 0.0871972
3112 0.160612 0.231092 0.0871957
3120 0.160612 0.231085 0.0871941
3128 0.160611 0.231073 0.0871927
3136 0.160611 0.231057 0.0871912
3144 0.160611 0.231036 0.0871897
3152 0.16061 0.231013 0.0871883
3160 0.16061 0.230987 0.0871869
3168 0.16061 0.23096 0.0871855
3176 0.16061 0.230933 0.0871841
3184 0.16061 0.230906 0.0871827
3192 0.16061 0.230881 0.0871813
3200 0.16061 0.230858 0.08718
3208 0.16061 0.230838 0.0871786
3216 0.160611 0.230823 0.0871772
3224 0.160611 0.230812 0.0871758
3232 0.160612 0.230807 0.0871743
3240 0.160612 0.230807 0.0871729
3248 0.160612 0.230814 0.0871714
3256 0.160612 0.230825 0.0871699
3264 0.160612 0.230842 0.0871684
3272 0.160612 0.230865 0.0871669
3280 0.160612 0.230891 0.0871653
3288 0.160612 0.230921 0.0871637
3296 0.160612 0.230954 0.087162
3304 0.160611 0.23099 0.0871604
3312 0.160611 0.231026 0.0871587
3320 0.160611 0.231063 0.087157
3328 0.160611 0.231099 0.0871553
3336 0.160612 0.231135 0.0871536
3344 0.160612 0.231168 0.0871518
3352 0.160612 0.2312 0.0871501
3360 0.160612 0.231228 0.0871484
3368 0.160613 0.231255 0.0871467
3376 0.160613 0.231278 0.0871451
3384 0.160613 0.231299 0.0871434
3392 0.160613 0.231318 0.0871418
3400 0.160613 0.231334 0.0871402
3408 0.160612 0.231349 0.0871387
3416 0.160612 0.231363 0.0871371
3424 0.160611 0.231375 0.0871356
3432 0.16061 0.231388 0.0871342
3440 0.16061 0.231401 0.0871327
3448 0.160609 0.231414 0.0871313
3456 0.160608 0.231427 0.0871299
3464 0.160607 0.231442 0.0871285
3472 0.160605 0.231458 0.0871271
3480 0.160604 0.231474 0.0871257
3488 0.160602 0.231492 0.0871243
3496 0.1606 0.23151 0.0871228
3504 0.160598 0.231529 0.0871213
3512 0.160595 0.231549 0.0871198
3520 0.160592 0.231568 0.0871183
3528 0.160589 0.231587 0.0871167
3536 0.160585 0.231606 0.087115
3544 0.160582 0.231625 0.0871133
3552 0.160577 0.231642 0.0871116
3560 0.160573 0.231659 0.0871098
3568 0.160568 0.231675 0.087108
3576 0.160563 0.23169 0.0871062
3584 0.160558 0.231704 0.0871043
3592 0.160552 0.231718 0.0871024
3600 0.160547 0.23173 0.0871005
3608 0.160541 0.231742 0.0870986
3616 0.160536 0.231754 0.0870967
3624 0.16053 0.231765 0.0870948
3632 0.160525 0.231776 0.0870929
3640 0.160521 0.231787 0.0870911
3648 0.160516 0.231797 0.0870893
3656 0.160512 0.231808 0.0870875
3664 0.160509 0.231819 0.0870857
3672 0.160506 0.23183 0.087084
3680 0.160503 0.231841 0.0870824
3688 0.160501 0.231851 0.0870807
3696 0.160499 0.231862 0.0870791
3704 0.160498 0.231872 0.0870775
3712 0.160497 0.231882 0.087076
3720 0.160497 0.231891 0.0870744
3728 0.160497 0.2319 0.0870729
3736 0.160498 0.231908 0.0870714
3744 0.160499 0.231916 0.0870698
3752 0.1605 0.231923 0.0870683
3760 0.160501 0.231929 0.0870667
3768 0.160503 0.231935 0.0870651
3776 0.160505 0.23194 0.0870635
3784 0.160508 0.231944 0.0870619
3792 0.160511 0.231948 0.0870602
3800 0.160513 0.231951 0.0870585
3808 0.160516 0.231953 0.0870567
3816 0.160519 0.231955 0.0870549
3824 0.160521 0.231957 0.087053
3832 0.160523 0.231958 0.0870511
3840 0.160525 0.231958 0.0870491
3848 0.160527 0.231957 0.0870471
3856 0.160528 0.231956 0.0870451
3864 0.160529 0.231955 0.087043
3872 0.160529 0.231952 0.0870409
3880 0.16053 0.231948 0.0870388
3888 0.16053 0.231944 0.0870366
3896 0.16053 0.231938 0.0870344
3904 0.16053 0.231931 0.0870322
3912 0.16053 0.231923 0.08703
3920 0.16053 0.231913 0.0870278
3928 0.16053 0.231902 0.0870255
3936 0.16053 0.231889 0.0870233
3944 0.16053 0.231875 0.0870211
3952 0.16053 0.231859 0.0870189
3960 0.16053 0.231842 0.0870166
3968 0.16053 0.231824 0.0870144
3976 0.16053 0.231804 0.0870122
3984 0.160531 0.231783 0.0870101
3992 0.160531 0.231762 0.0870079
4000 0.160531 0.231739 0.0870057
4008 0.160532 0.231716 0.0870036
4016 0.160533 0.231693 0.0870015
4024 0.160534 0.231669 0.0869993
4032 0.160535 0.231646 0.0869973
4040 0.160536 0.231624 0.0869952
4048 0.160537 0.231603 0.0869931
4056 0.160538 0.231584 0.0869911
4064 0.160539 0.231567 0.0869891
4072 0.16054 0.231552 0.0869871
4080 0.160541 0.231539 0.0869852
4088 0.160542 0.23153 0.0869832
4096 0.160542 0.231525 0.0869813
4104 0.160543 0.231523 0.0869794
4112 0.160543 0.231525 0.0869776
4120 0.160544 0.231531 0.0869758
4128 0.160544 0.231541 0.086974
4136 0.160544 0.231555 0.0869722
4144 0.160545 0.231574 0.0869705
4152 0.160545 0.231596 0.0869688
4160 0.160545 0.231621 0.0869672
4168 0.160545 0.23165 0.0869656
4176 0.160545 0.231681 0.086964
4184 0.160545 0.231714 0.0869625
4192 0.160545 0.231749 0.086961
4200 0.160544 0.231784 0.0869595
4208 0.160544 0.231819 0.0869581
4216 0.160544 0.231854 0.0869568
4224 0.160544 0.231887 0.0869555
4232 0.160545 0.231918 0.0869543
4240 0.160545 0.231947 0.0869531
4248 0.160545 0.231973 0.086952
4256 0.160546 0.231996 0.0869509
4264 0.160546 0.232015 0.0869499
4272 0.160547 0.23203 0.086949
4280 0.160547 0.232041 0.0869481
4288 0.160548 0.232048 0.0869473
4296 0.160548 0.232051 0.0869466
4304 0.160549 0.232052 0.0869459
4312 0.16055 0.232049 0.0869453
4320 0.160551 0.232043 0.0869447
4328 0.160552 0.232036 0.0869442
4336 0.160553 0.232028 0.0869437
4344 0.160554 0.232018 0.0869432
4352 0.160556 0.232009 0.0869428
4360 0.160557 0.231999 0.0869425
4368 0.160558 0.231991 0.0869422
4376 0.16056 0.231984 0.0869418
4384 0.160561 0.231979 0.0869416
4392 0.160562 0.231977 0.0869413
4400 0.160564 0.231976 0.086941
4408 0.160565 0.231978 0.0869407
4416 0.160567 0.231983 0.0869405
4424 0.160569 0.231989 0.0869402
4432 0.16057 0.231998 0.0869399
4440 0.160572 0.232009 0.0869396
4448 0.160574 0.232022 0.0869393
4456 0.160576 0.232036 0.086939
4464 0.160578 0.232051 0.0869386
4472 0.16058 0.232067 0.0869383
4480 0.160582 0.232082 0.0869379
4488 0.160585 0.232098 0.0869376
4496 0.160587 0.232114 0.0869373
4504 0.16059 0.232129 0.0869369
4512 0.160594 0.232144 0.0869366
4520 0.160597 0.232158 0.0869362
4528 0.160601 0.232171 0.0869359
4536 0.160605 0.232184 0.0869356
4544 0.160609 0.232196 0.0869354
4552 0.160613 0.232207 0.0869351
4560 0.160618 0.232218 0.0869349
4568 0.160623 0.232228 0.0869347
4576 0.160628 0.232239 0.0869345
4584 0.160634 0.23225 0.0869343
4592 0.16064 0.232261 0.0869341
4600 0.160646 0.232272 0.086934
4608 0.160652 0.232284 0.0869338
4616 0.160658 0.232296 0.0869337
4624 0.160664 0.232308 0.0869335
4632 0.16067 0.232322 0.0869334
4640 0.160677 0.232335 0.0869332
4648 0.160683 0.232349 0.086933
4656 0.160689 0.232363 0.0869327
4664 0.160695 0.232378 0.0869324
4672 0.160701 0.232392 0.0869321
4680 0.160706 0.232407 0.0869317
4688 0.160711 0.232421 0.0869312
4696 0.160715 0.232435 0.0869307
4704 0.160719 0.232449 0.0869302
4712 0.160723 0.232462 0.0869296
4720 0.160726 0.232475 0.0869289
4728 0.160728 0.232488 0.0869282
4736 0.16073 0.232501 0.0869275
4744 0.160731 0.232513 0.0869267
4752 0.160732 0.232525 0.0869258
4760 0.160732 0.232537 0.0869249
4768 0.160732 0.232548 0.086924
4776 0.160731 0.23256 0.0869231
4784 0.16073 0.232572 0.0869222
4792 0.160729 0.232584 0.0869212
4800 0.160727 0.232596 0.0869203
4808 0.160726 0.232608 0.0869194
4816 0.160724 0.23262 0.0869184
4824 0.160723 0.232633 0.0869175
4832 0.160721 0.232646 0.0869166
4840 0.16072 0.232659 0.0869157
4848 0.160719 0.232673 0.0869148
4856 0.160718 0.232686 0.0869139
4864 0.160717 0.232701 0.0869131
4872 0.160717 0.232715 0.0869123
4880 0.160716 0.23273 0.0869115
4888 0.160717 0.232745 0.0869107
4896 0.160717 0.23276 0.0869099
4904 0.160718 0.232776 0.0869091
4912 0.160719 0.232793 0.0869084
4920 0.160721 0.232809 0.0869076
4928 0.160722 0.232827 0.0869069
4936 0.160724 0.232845 0.0869061
4944 0.160726 0.232864 0.0869054
4952 0.160728 0.232883 0.0869047
4960 0.160729 0.232903 0.0869039
4968 0.160731 0.232924 0.0869031
4976 0.160733 0.232946 0.0869023
4984 0.160735 0.232968 0.0869016
4992 0.160736 0.232991 0.0869007
5000 0.160737 0.233014 0.0868999
5008 0.160739 0.233037 0.0868991
5016 0.16074 0.233061 0.0868982
