#time meanCourantNo maxCourantNo Ndt
2800 0.160415 0.208213 0.0872546
2808 0.160414 0.208221 0.0872518
2816 0.160414 0.208229 0.087249
2824 0.160413 0.208238 0.0872463
2832 0.160413 0.208246 0.0872437
2840 0.160412 0.208255 0.0872411
2848 0.160412 0.208264 0.0872386
2856 0.160411 0.208274 0.0872361
2864 0.16041 0.208284 0.0872336
2872 0.16041 0.208295 0.0872312
2880 0.160409 0.208306 0.0872288
2888 0.160408 0.208319 0.0872265
2896 0.160406 0.208332 0.0872242
2904 0.160405 0.208347 0.0872219
2912 0.160405 0.208363 0.0872197
2920 0.160404 0.208381 0.0872175
2928 0.160404 0.2084 0.0872153
2936 0.160404 0.20842 0.0872131
2944 0.160405 0.208442 0.087211
2952 0.160406 0.208466 0.0872089
2960 0.160408 0.208491 0.0872068
2968 0.16041 0.208518 0.0872047
2976 0.160411 0.208546 0.0872027
2984 0.160413 0.208576 0.0872007
2992 0.160415 0.208606 0.0871987
3000 0.160417 0.208637 0.0871967
3008 0.160418 0.208668 0.0871948
3016 0.16042 0.2087 0.0871929
3024 0.160421 0.208731 0.087191
3032 0.160422 0.208761 0.0871891
3040 0.160423 0.208789 0.0871873
3048 0.160424 0.208816 0.0871854
3056 0.160424 0.208839 0.0871836
3064 0.160425 0.20886 0.0871819
3072 0.160425 0.208877 0.0871801
3080 0.160425 0.208891 0.0871784
3088 0.160425 0.2089 0.0871767
3096 0.160425 0.208904 0.087175
3104 0.160425 0.208904 0.0871734
3112 0.160425 0.208899 0.0871718
3120 0.160425 0.20889 0.0871702
3128 0.160425 0.208876 0.0871686
3136 0.160425 0.208858 0.0871671
3144 0.160425 0.208837 0.0871655
3152 0.160425 0.208813 0.087164
3160 0.160425 0.208787 0.0871625
3168 0.160425 0.20876 0.0871611
3176 0.160425 0.208733 0.0871596
3184 0.160425 0.208706 0.0871581
3192 0.160425 0.208681 0.0871567
3200 0.160426 0.208657 0.0871552
3208 0.160426 0.208637 0.0871537
3216 0.160427 0.208621 0.0871523
3224 0.160427 0.208609 0.0871508
3232 0.160428 0.208602 0.0871493
3240 0.160428 0.2086 0.0871478
3248 0.160429 0.208603 0.0871462
3256 0.160429 0.208612 0.0871447
3264 0.160429 0.208625 0.0871431
3272 0.160429 0.208643 0.0871414
3280 0.160429 0.208664 0.0871398
3288 0.160429 0.208689 0.0871381
3296 0.160429 0.208717 0.0871364
3304 0.160429 0.208747 0.0871346
3312 0.160429 0.208777 0.0871329
3320 0.160429 0.208808 0.0871311
3328 0.160429 0.208839 0.0871293
3336 0.160429 0.208869 0.0871275
3344 0.160429 0.208897 0.0871258
3352 0.16043 0.208923 0.087124
3360 0.16043 0.208947 0.0871222
3368 0.160431 0.208968 0.0871204
3376 0.160431 0.208987 0.0871187
3384 0.160431 0.209004 0.087117
3392 0.160431 0.209019 0.0871153
3400 0.160431 0.209031 0.0871136
3408 0.160431 0.209042 0.087112
3416 0.16043 0.209053 0.0871104
3424 0.16043 0.209062 0.0871088
3432 0.160429 0.209071 0.0871073
3440 0.160428 0.209081 0.0871058
3448 0.160428 0.20909 0.0871043
3456 0.160427 0.209101 0.0871029
3464 0.160426 0.209112 0.0871014
3472 0.160425 0.209124 0.0870999
3480 0.160423 0.209137 0.0870985
3488 0.160422 0.209151 0.087097
3496 0.16042 0.209165 0.0870955
3504 0.160417 0.20918 0.0870939
3512 0.160415 0.209196 0.0870924
3520 0.160412 0.209211 0.0870908
3528 0.160409 0.209227 0.0870891
3536 0.160405 0.209242 0.0870874
3544 0.160401 0.209257 0.0870857
3552 0.160397 0.209271 0.0870839
3560 0.160393 0.209285 0.0870821
3568 0.160388 0.209297 0.0870802
3576 0.160383 0.209309 0.0870783
3584 0.160378 0.20932 0.0870764
3592 0.160373 0.20933 0.0870745
3600 0.160367 0.20934 0.0870725
3608 0.160362 0.209349 0.0870706
3616 0.160356 0.209358 0.0870686
3624 0.160351 0.209367 0.0870667
3632 0.160346 0.209375 0.0870647
3640 0.160342 0.209383 0.0870628
3648 0.160337 0.209392 0.0870609
3656 0.160333 0.2094 0.0870591
3664 0.16033 0.209409 0.0870573
3672 0.160327 0.209417 0.0870555
3680 0.160324 0.209425 0.0870537
3688 0.160322 0.209434 0.087052
3696 0.160321 0.209442 0.0870503
3704 0.16032 0.20945 0.0870487
3712 0.160319 0.209458 0.0870471
3720 0.160319 0.209465 0.0870455
3728 0.160319 0.209472 0.0870439
3736 0.160319 0.209478 0.0870423
3744 0.16032 0.209484 0.0870407
3752 0.160322 0.209489 0.0870391
3760 0.160323 0.209493 0.0870375
3768 0.160325 0.209497 0.0870358
3776 0.160328 0.2095 0.0870342
3784 0.16033 0.209503 0.0870325
3792 0.160333 0.209505 0.0870307
3800 0.160336 0.209506 0.087029
3808 0.160339 0.209507 0.0870271
3816 0.160342 0.209508 0.0870253
3824 0.160344 0.209508 0.0870234
3832 0.160346 0.209507 0.0870214
3840 0.160348 0.209506 0.0870194
3848 0.16035 0.209505 0.0870174
3856 0.160351 0.209502 0.0870153
3864 0.160352 0.2095 0.0870132
3872 0.160353 0.209496 0.0870111
3880 0.160354 0.209491 0.0870089
3888 0.160354 0.209485 0.0870067
3896 0.160354 0.209479 0.0870045
3904 0.160354 0.209471 0.0870022
3912 0.160355 0.209462 0.087
3920 0.160355 0.209452 0.0869977
3928 0.160355 0.20944 0.0869955
3936 0.160355 0.209427 0.0869932
3944 0.160355 0.209413 0.0869909
3952 0.160355 0.209397 0.0869887
3960 0.160355 0.20938 0.0869864
3968 0.160355 0.209362 0.0869841
3976 0.160356 0.209343 0.0869819
3984 0.160356 0.209322 0.0869797
3992 0.160356 0.209301 0.0869775
4000 0.160357 0.209278 0.0869753
4008 0.160358 0.209256 0.0869731
4016 0.160359 0.209233 0.0869709
4024 0.16036 0.20921 0.0869687
4032 0.160361 0.209187 0.0869666
4040 0.160362 0.209165 0.0869645
4048 0.160363 0.209145 0.0869624
4056 0.160365 0.209125 0.0869603
4064 0.160366 0.209108 0.0869583
4072 0.160367 0.209092 0.0869563
4080 0.160368 0.209079 0.0869543
4088 0.160369 0.209069 0.0869523
4096 0.160369 0.209062 0.0869504
4104 0.16037 0.209058 0.0869485
4112 0.160371 0.209058 0.0869466
4120 0.160371 0.209061 0.0869447
4128 0.160372 0.209068 0.0869429
4136 0.160372 0.209079 0.0869411
4144 0.160372 0.209094 0.0869394
4152 0.160372 0.209111 0.0869377
4160 0.160373 0.209132 0.086936
4168 0.160373 0.209156 0.0869343
4176 0.160373 0.209182 0.0869327
4184 0.160373 0.209209 0.0869312
4192 0.160372 0.209238 0.0869296
4200 0.160372 0.209268 0.0869282
4208 0.160372 0.209297 0.0869267
4216 0.160372 0.209326 0.0869253
4224 0.160372 0.209354 0.086924
4232 0.160373 0.20938 0.0869227
4240 0.160373 0.209403 0.0869215
4248 0.160373 0.209424 0.0869204
4256 0.160374 0.209442 0.0869193
4264 0.160374 0.209457 0.0869182
4272 0.160375 0.209468 0.0869173
4280 0.160375 0.209475 0.0869163
4288 0.160376 0.209479 0.0869155
4296 0.160377 0.20948 0.0869147
4304 0.160378 0.209478 0.086914
4312 0.160379 0.209473 0.0869133
4320 0.16038 0.209466 0.0869126
4328 0.160381 0.209457 0.0869121
4336 0.160382 0.209447 0.0869116
4344 0.160383 0.209436 0.0869111
4352 0.160384 0.209425 0.0869106
4360 0.160386 0.209414 0.0869102
4368 0.160387 0.209405 0.0869098
4376 0.160388 0.209396 0.0869095
4384 0.16039 0.20939 0.0869091
4392 0.160391 0.209385 0.0869088
4400 0.160393 0.209383 0.0869085
4408 0.160395 0.209383 0.0869081
4416 0.160396 0.209385 0.0869078
4424 0.160398 0.209389 0.0869075
4432 0.160399 0.209395 0.0869071
4440 0.160401 0.209403 0.0869068
4448 0.160403 0.209413 0.0869064
4456 0.160405 0.209424 0.086906
4464 0.160407 0.209435 0.0869056
4472 0.160409 0.209448 0.0869052
4480 0.160411 0.209461 0.0869048
4488 0.160414 0.209473 0.0869044
4496 0.160417 0.209486 0.086904
4504 0.16042 0.209498 0.0869036
4512 0.160423 0.20951 0.0869032
4520 0.160427 0.209521 0.0869028
4528 0.16043 0.209531 0.0869024
4536 0.160434 0.209541 0.086902
4544 0.160438 0.20955 0.0869017
4552 0.160443 0.209559 0.0869013
4560 0.160448 0.209567 0.086901
4568 0.160453 0.209575 0.0869008
4576 0.160458 0.209584 0.0869005
4584 0.160464 0.209592 0.0869002
4592 0.16047 0.2096 0.0869
4600 0.160475 0.209609 0.0868998
4608 0.160482 0.209618 0.0868996
4616 0.160488 0.209628 0.0868994
4624 0.160494 0.209638 0.0868991
4632 0.1605 0.209648 0.0868989
4640 0.160507 0.209659 0.0868986
4648 0.160513 0.20967 0.0868984
4656 0.160519 0.209682 0.086898
4664 0.160525 0.209693 0.0868977
4672 0.16053 0.209705 0.0868973
4680 0.160536 0.209717 0.0868969
4688 0.160541 0.209728 0.0868964
4696 0.160545 0.20974 0.0868958
4704 0.160549 0.209751 0.0868952
4712 0.160553 0.209762 0.0868946
4720 0.160556 0.209772 0.0868939
4728 0.160558 0.209782 0.0868931
4736 0.16056 0.209792 0.0868923
4744 0.160561 0.209802 0.0868915
4752 0.160562 0.209812 0.0868906
4760 0.160562 0.209821 0.0868897
4768 0.160562 0.20983 0.0868887
4776 0.160561 0.20984 0.0868877
4784 0.16056 0.209849 0.0868868
4792 0.160559 0.209859 0.0868858
4800 0.160558 0.209868 0.0868848
4808 0.160556 0.209878 0.0868838
4816 0.160555 0.209888 0.0868828
4824 0.160553 0.209899 0.0868818
4832 0.160552 0.209909 0.0868808
4840 0.160551 0.20992 0.0868799
4848 0.16055 0.209931 0.086879
4856 0.160549 0.209943 0.086878
4864 0.160548 0.209954 0.0868772
4872 0.160547 0.209966 0.0868763
4880 0.160547 0.209979 0.0868754
4888 0.160548 0.209991 0.0868746
4896 0.160548 0.210004 0.0868738
4904 0.160549 0.210018 0.0868729
4912 0.16055 0.210032 0.0868721
4920 0.160552 0.210046 0.0868714
4928 0.160553 0.210061 0.0868706
4936 0.160555 0.210076 0.0868698
4944 0.160557 0.210092 0.086869
4952 0.160559 0.210109 0.0868682
4960 0.160561 0.210126 0.0868674
4968 0.160563 0.210145 0.0868666
4976 0.160565 0.210163 0.0868658
4984 0.160566 0.210182 0.0868649
4992 0.160568 0.210202 0.0868641
5000 0.160569 0.210223 0.0868632
5008 0.16057 0.210243 0.0868624
5016 0.160571 0.210264 0.0868615
5024 0.160572 0.210285 0.0868606
5032 0.160573 0.210305 0.0868597
5040 0.160574 0.210326 0.0868587
5048 0.160574 0.210345 0.0868578
5056 0.160574 0.210364 0.0868568
5064 0.160575 0.210381 0.0868559
5072 0.160575 0.210398 0.0868549
5080 0.160576 0.210412 0.0868539
5088 0.160576 0.210425 0.0868529
5096 0.160576 0.210435 0.0868519
5104 0.160577 0.210443 0.0868508
5112 0.160577 0.210448 0.0868498
5120 0.160577 0.210451 0.0868487
5128 0.160578 0.210451 0.0868477
5136 0.160578 0.210448 0.0868466
5144 0.160579 0.210442 0.0868455
